beta,orr_diff_960_minus_240
-1.5,-0.06137093356618961
-1.45,-0.05967757175547006
-1.4,-0.05795131197689901
-1.35,-0.0561924274423628
-1.3,-0.05440128381207554
-1.25,-0.05257834335388528
-1.2,-0.0507241685562268
-1.15,-0.04883942508404815
-1.1,-0.04692488396717148
-1.05,-0.04498142291403778
-1.0,-0.043010026651109146
-0.95,-0.04101178619976559
-0.8999999999999999,-0.038987897018605056
-0.85,-0.03693965595972132
-0.7999999999999999,-0.03486845701263619
-0.75,-0.032775785838659144
-0.7,-0.030663213130749656
-0.6499999999999999,-0.028532386868354964
-0.6,-0.026385023571717625
-0.5499999999999999,-0.02422289869404337
-0.5,-0.022047836320754632
-0.44999999999999996,-0.019861698370814973
-0.3999999999999999,-0.017666373513920308
-0.34999999999999987,-0.01546376602760674
-0.2999999999999998,-0.013255784818930416
-0.25,-0.011044332825860148
-0.19999999999999996,-0.008831296994163462
-0.1499999999999999,-0.006618538997400947
-0.09999999999999987,-0.004407886832415053
-0.04999999999999982,-0.0022011273827086675
0.0,0.0
0.050000000000000044,0.002193808887210824
0.10000000000000009,0.004378670167446752
0.15000000000000013,0.006553015504565218
0.20000000000000018,0.008715339948362155
0.25,0.01086420380281744
0.30000000000000004,0.012998233866557574
0.3500000000000001,0.015116124161387579
0.40000000000000013,0.017216636259039297
0.4500000000000002,0.01929859930498068
0.5,0.021360909822846552
0.5500000000000003,0.023402531365502133
0.6000000000000001,0.025422494060558354
0.6499999999999999,0.027419894080743523
0.7000000000000002,0.02939389305404333
0.75,0.03134371741573516
0.8000000000000003,0.03326865769481652
0.8500000000000001,0.03516806772097708
0.9000000000000004,0.037041363735040134
0.9500000000000002,0.03888802338532832
1.0,0.04070758459418855
1.0500000000000003,0.04249964428235803
1.1,0.04426385694338336
1.1500000000000004,0.04599993306536776
1.2000000000000002,0.047707637402440384
1.25,0.04938678710314853
1.3000000000000003,0.051037249707177657
1.35,0.052658941025250317
1.4000000000000004,0.05425182291963854
1.4500000000000002,0.05581590100444622
1.5,0.05735122228572104
1.5500000000000003,0.05885787276161919
1.6,0.060335975002393294
1.6500000000000004,0.06178568572900245
1.7000000000000002,0.06320719340780245
1.75,0.0646007158771516
1.8000000000000003,0.06596649801997695
1.85,0.06730480949448336
1.9000000000000004,0.06861594253330067
1.9500000000000002,0.06990020981954004
2.0,0.07115794244648332
2.0500000000000003,0.0723894879660148
2.1,0.07359520852941637
2.1500000000000004,0.07477547912282723
2.2,0.075930685898485
2.25,0.07706122460185205
2.3000000000000003,0.07816749909385107
2.35,0.0792499199667051
2.4000000000000004,0.08030890325126555
2.45,0.08134486921322998
2.5,0.08235824123526503
2.55,0.0833494447817617
2.6000000000000005,0.08431890644274215
2.6500000000000004,0.08526705305330334
2.7,0.08619431088490281
2.75,0.0871011049047678
2.8,0.08798785809972653
2.8500000000000005,0.08885499086080889
2.9000000000000004,0.08970292042504363
2.95,0.09053206037097561
3.0,0.09134282016454831
