day,ratio_published_DG1,ratio_calibrated,ratio_calibrated_lo95,ratio_calibrated_hi95
1,1.2282828282828284,1.5000000000000442,1.123715448021899,2.0223975901237985
2,1.1671653119667182,1.4571118323019276,1.1358078170694152,1.8258474757228302
3,1.1159910413182494,1.4197035691936277,1.1396027336450163,1.7286739449230697
4,1.0733301103076875,1.3874142755615266,1.1135450901139607,1.6931714601569294
5,1.0378962542620995,1.3597939479673327,1.0738886699289543,1.6784637528998472
6,1.0085545746680682,1.3363493316114863,1.0367091765416567,1.6899630959684258
7,0.9843187993758773,1.3165793091032922,0.9989726990507233,1.710901282917034
8,0.9643420630561054,1.2999999999999996,0.9713996787405413,1.7408861932708566
9,0.9479041524319145,1.286160890868978,0.9463944404847184,1.7755451478001854
10,0.9343972697577224,1.2746538119107726,0.9211829429758221,1.8063348245761832
11,0.9233116643482634,1.265116615095179,0.9005394591582686,1.826946398079337
12,0.9142219585777251,1.2572331952284435,0.8861005791450186,1.856445801650876
13,0.9067746243688595,1.250731178888462,0.8745119040581864,1.875003474435969
14,0.9006768159730201,1.2453782792765669,0.8641288610001371,1.8897461187257836
15,0.8956866039891271,1.2409780256058858,0.8563484838875566,1.9169118865115928
16,0.8916045583279449,1.2373653418884618,0.8494463616995902,1.9337195773197149
17,0.8882665741507199,1.2344022730744848,0.8439873863923655,1.948953262426923
18,0.8855378098510547,1.2319740294062476,0.8390884503547836,1.957478204418149
19,0.8833075993262616,1.2299854327287765,0.8351064264356354,1.9619150890852768
20,0.8814852048042292,1.2283577915696497,0.8318657346342268,1.9706796462629246
21,0.8799962864769125,1.227026196641443,0.8292292072158569,1.9760820161570203
22,0.8787799779851588,1.2259372083487647,0.8270902233742972,1.9822892712951505
23,0.877786470434749,1.2250468978784563,0.8253468611440428,1.9873969721971187
24,0.8769750209353399,1.224319199898699,0.8239254982054167,1.991552145588232
25,0.876312314004442,1.2237245352711803,0.8227663626797044,1.9949643536453323
26,0.875771115266016,1.2232386647893556,0.8218208776051525,1.9973951331567676
27,0.8753291666036835,1.2228417386826735,0.8210495310359822,1.9988559445706027
28,0.8749682803297242,1.222517510769251,0.8204201623459113,2.0000515097747678
29,0.8746735970973006,1.2222526902744255,0.8199065798101971,2.0010277650790775
30,0.8744329783404198,1.22203640822115,0.8194874430236799,2.001801822634082
